TIMECODE,HOME.LATITUDE,HOME.LONGITUDE,DATE,GPS.LATITUDE,GPS.LONGITUDE,GPS.SATELLITES,BAROMETER,ISO,SHUTTER,FNUM,SPEED.TWOD,SPEED.VERTICAL,SPEED.THREED,DISTANCE,propInt,propInt2,propExtra,NAME
"00:00:01,000","-20.2532","149.0251","1501953111000","-20.2533","149.02510000000004","16","1.9125","100","60","2.2","0","0","0","0","123","456","Prop added in a second instance","mavic_pro"
"00:00:02,000","-20.2532","149.0251","1501953112000","-20.2533","149.02510000000004","16","1.9125","100","60","2.2","0","0","0","0","123","456","Prop added in a second instance","mavic_pro"
"00:00:03,000","-20.2532","149.0251","1501953113000","-20.2533","149.02510000000004","16","1.9125","100","60","2.2","0","0","0","0","123","456","Prop added in a second instance","mavic_pro"
"00:00:04,000","-20.2532","149.0251","1501953114000","-20.2533","149.02510000000004","16","1.9125","100","60","2.2","0","0","0","0","123","456","Prop added in a second instance","mavic_pro"
"00:00:05,000","-20.2532","149.0251","1501953115000","-20.2533","149.02510000000004","16","1.9125","100","60","2.2","0","0","0","0","123","456","Prop added in a second instance","mavic_pro"
"00:00:06,000","-20.2532","149.0251","1501953116000","-20.2533","149.02510000000004","16","1.9125","100","60","2.2","0","0","0","0","123","456","Prop added in a second instance","mavic_pro"
"00:00:07,000","-20.2532","149.0251","1501953117000","-20.2533","149.02510000000004","16","1.9125","100","60","2.2","0","0","0","0","123","456","Prop added in a second instance","mavic_pro"
"00:00:08,000","-20.2532","149.0251","1501953118000","-20.2533","149.02510000000004","16","1.9000000000000001","100","60","2.2","0","-0.04499999999999984","0.04499999999999984","0.012499999999999956","123","456","Prop added in a second instance","mavic_pro"
"00:00:09,000","-20.2532","149.0251","1501953119000","-20.2533","149.02510000000004","16","1.9000000000000001","100","60","2.2","0","0","0","0.012499999999999956","123","456","Prop added in a second instance","mavic_pro"
"00:00:10,000","-20.2532","149.0251","1501953120000","-20.2533","149.02510000000004","16","1.9000000000000001","100","60","2.2","0","0","0","0.012499999999999956","123","456","Prop added in a second instance","mavic_pro"
"00:00:11,000","-20.2532","149.0251","1501953121000","-20.2533","149.02510000000004","16","1.9000000000000001","100","60","2.2","0","0","0","0.012499999999999956","123","456","Prop added in a second instance","mavic_pro"
"00:00:12,000","-20.2532","149.0251","1501953122000","-20.2533","149.02510000000004","16","1.9000000000000001","100","60","2.2","0","0","0","0.012499999999999956","123","456","Prop added in a second instance","mavic_pro"
"00:00:13,000","-20.2532","149.0251","1501953123000","-20.2533","149.02510000000004","16","1.9000000000000001","100","60","2.2","0","0","0","0.012499999999999956","123","456","Prop added in a second instance","mavic_pro"
