TIMECODE,HOME.0,HOME.1,HOME.2,DATE,GPS.0,GPS.1,GPS.2,BAROMETER,ISO,Shutter,Fnum,F_PRY.0,F_PRY.1,F_PRY.2,G_PRY.0,G_PRY.1,G_PRY.2,F,SS,EV,D,H,H_S,V_S,NAME
"00:00:01,000","149.0251","-20.2532", ,"2017.08.05 14:11:51","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:02,000","149.0251","-20.2532", ,"2017.08.05 14:11:52","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:03,000","149.0251","-20.2532", ,"2017.08.05 14:11:53","149.0251","-20.2533","16","2","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:04,000","149.0251","-20.2532", ,"2017.08.05 14:11:54","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:05,000","149.0251","-20.2532", ,"2017.08.05 14:11:55","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:06,000","149.0251","-20.2532", ,"2017.08.05 14:11:56","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:07,000","149.0251","-20.2532", ,"2017.08.05 14:11:57","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:08,000","149.0251","-20.2532", ,"2017.08.05 14:11:58","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:09,000","149.0251","-20.2532", ,"2017.08.05 14:11:59","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:10,000","149.0251","-20.2532", ,"2017.08.05 14:12:00","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:11,000","149.0251","-20.2532", ,"2017.08.05 14:12:01","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:12,000","149.0251","-20.2532", ,"2017.08.05 14:12:02","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:13,000","149.0251","-20.2532", ,"2017.08.05 14:12:03","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:14,000","149.0251","-20.2532", ,"2017.08.05 14:12:04","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:15,000","149.0251","-20.2532", ,"2017.08.05 14:12:05","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:16,000","149.0251","-20.2532", ,"2017.08.05 14:12:06","149.0251","-20.2533","16","1.9","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:17,000","149.0251","-20.2532", ,"2017.08.05 14:12:07","149.0251","-20.2533","16","2.1","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:18,000","149.0251","-20.2532", ,"2017.08.05 14:12:08","149.0251","-20.2533","16","4.8","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:19,000","149.0251","-20.2532", ,"2017.08.05 14:12:09","149.0251","-20.2533","16","8.3","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:20,000","149.0251","-20.2532", ,"2017.08.05 14:12:10","149.0252","-20.2533","16","12.1","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:21,000","149.0251","-20.2532", ,"2017.08.05 14:12:11","149.0252","-20.2533","16","16","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
"00:00:22,000","149.0251","-20.2532", ,"2017.08.05 14:12:12","149.0252","-20.2534","16","20.1","100","60","2.2", , , , , , , , , , , , , ,"mavic_pro"
