TIMECODE,GPS.LATITUDE,GPS.LONGITUDE,GPS.SATELLITES,HOME.LATITUDE,HOME.LONGITUDE,F_PRY.1,F_PRY.2,F_PRY.3,G_PRY.1,G_PRY.2,G_PRY.3,ISO,EV,D,H_S,V_S,SHUTTER,FNUM,BAROMETER,DATE,SPEED.TWOD,SPEED.VERTICAL,SPEED.THREED,DISTANCE,NAME
"00:00:00,000","-34.237901125","-58.851735500000004","15","-34.232707","-58.847509","-7","2.7","110.1","0","-24.4","110.4","100","0","698.7","0","0","400","5.6","85.84125","1589598000000","0","0","0","0","p4_rtk"
"00:00:01,000","-34.237878875","-58.851725124999994","15","-34.232707","-58.847509","-19.9","3","110.3","0","-24.4","110.5","100","0","697.41","2.88","0","400","5.6","85.86500000000001","1589598001000","9.556267244264063","0.08550000000002456","9.556649721204304","2.654624922556751","p4_rtk"
"00:00:02,000","-34.237846625","-58.851710000000004","15","-34.232707","-58.847509","-20.8","4.6","110.2","0","-24.4","110.8","100","0","692.94","5.61","0","400","5.6","85.89875","1589598002000","13.861622351264469","0.12149999999999181","13.862154827409581","6.505223485726079","p4_rtk"
"00:00:03,000","-34.237803125","-58.85168975","14","-34.232707","-58.847509","-20.7","5.4","109.8","0","-24.4","111","100","0","686.08","7.6","0","400","5.6","85.92499999999998","1589598003000","18.67902727519732","0.09449999999991406","18.679266318503128","11.69390857419917","p4_rtk"
"00:00:04,000","-34.23774775","-58.851663875","14","-34.232707","-58.847509","-21.4","5.6","109.8","0","-24.4","111.2","100","0","677.73","8.99","-0.1","400","5.6","85.9425","1589598004000","23.78974806453767","0.06300000000004502","23.789831482677084","18.302195097165026","p4_rtk"
"00:00:05,000","-34.23768025","-58.851632375","14","-34.232707","-58.847509","-21.7","5.7","109.8","0","-24.3","111.3","100","0","668.26","10.07","-0.1","400","5.6","85.9425","1589598005000","28.99394463654287","0","28.99394463654287","26.356068607315823","p4_rtk"
"00:00:06,000","-34.237601375","-58.851595625","14","-34.232707","-58.847509","-21.7","6.2","109.6","0","-24.4","111.4","100","0","657.86","10.83","-0.1","400","5.6","85.93124999999999","1589598006000","33.87301359761019","-0.04050000000001432","33.8730378093534","35.765245776580656","p4_rtk"
"00:00:07,000","-34.237514375","-58.851555000000005","14","-34.232707","-58.847509","-22.3","6","109.6","0","-24.3","111.5","100","0","646.82","11.37","-0.1","400","5.6","85.905","1589598007000","37.372964108592804","-0.09449999999996522","37.37308358313728","46.14665788300768","p4_rtk"
"00:00:08,000","-34.237421375000004","-58.85151175","14","-34.232707","-58.847509","-22.4","6.4","109.4","0","-24.4","111.6","100","0","635.6","11.77","0","400","5.6","85.865","1589598008000","39.92936709493854","-0.1440000000000225","39.929626752605145","57.238220869842436","p4_rtk"
"00:00:09,000","-34.23732425","-58.85146674999999","14","-34.232707","-58.847509","-22.7","6.3","109.3","0","-24.4","111.6","100","0","624.03","12.09","0","400","5.6","85.82624999999999","1589598009000","41.680451281123986","-0.1395000000000266","41.68068472623921","68.81618884935332","p4_rtk"
"00:00:10,000","-34.23722375","-58.85142012499999","14","-34.232707","-58.847509","-23.2","6.7","109.2","0","-24.4","111.7","100","0","612.27","12.31","0","400","5.6","85.7675","1589598010000","43.136080987248235","-0.2114999999999611","43.13659948568545","80.79857759537705","p4_rtk"
"00:00:11,000","-34.237119500000006","-58.85137174999999","14","-34.232707","-58.847509","-23.5","6.8","109.2","0","-24.4","111.7","100","0","600.32","12.41","0","400","5.6","85.71875","1589598011000","44.746860745980655","-0.17549999999999386","44.747204905671865","93.22835673584146","p4_rtk"
"00:00:12,000","-34.23701375","-58.851323","14","-34.232707","-58.847509","-24","7.3","109.2","0","-24.3","111.8","100","0","588.54","12.54","0","400","5.6","85.67999999999999","1589598012000","45.35272016353757","-0.1395000000000266","45.352934706390805","105.82639415428335","p4_rtk"
"00:00:13,000","-34.236906375","-58.851273625000005","14","-34.232707","-58.847509","-24","7.6","108.9","0","-24.3","111.9","100","0","576.33","12.63","0.1","400","5.6","85.65","1589598013000","46.0350092663866","-0.10799999999995294","46.03513595240379","118.61393191883995","p4_rtk"
"00:00:14,000","-34.236798","-58.851223749999996","14","-34.232707","-58.847509","-23.7","7.6","108.8","0","-24.4","111.9","100","0","562.77","12.72","0.1","400","5.6","85.62","1589598014000","46.46847793799067","-0.10800000000000409","46.4686034422547","131.52187731946626","p4_rtk"
