TIMECODE,GPS.0,GPS.1,GPS.2,HOME.0,HOME.1,HOME.2,F_PRY.0,F_PRY.1,F_PRY.2,G_PRY.0,G_PRY.1,G_PRY.2,F,SS,ISO,EV,D,H,H_S,V_S,NAME
"00:00:00,000","-58.851745","-34.237922","15","-58.847509","-34.232707","-57.98m","2.7","-7","110.1","-24.4","0","110.4","5.6","400","100","0","698.7","85.8","0","0","p4_rtk"
"00:00:01,000","-58.85174","-34.237911","15","-58.847509","-34.232707","-57.98m","3","-19.9","110.3","-24.4","0","110.5","5.6","400","100","0","697.41","85.83","2.88","0","p4_rtk"
"00:00:02,000","-58.851723","-34.237873","15","-58.847509","-34.232707","-57.98m","4.6","-20.8","110.2","-24.4","0","110.8","5.6","400","100","0","692.94","85.94","5.61","0","p4_rtk"
"00:00:03,000","-58.851696","-34.237815","14","-58.847509","-34.232707","-57.98m","5.4","-20.7","109.8","-24.4","0","111","5.6","400","100","0","686.08","85.96","7.6","0","p4_rtk"
"00:00:04,000","-58.851662","-34.237744","14","-58.847509","-34.232707","-57.98m","5.6","-21.4","109.8","-24.4","0","111.2","5.6","400","100","0","677.73","85.99","8.99","-0.1","p4_rtk"
"00:00:05,000","-58.851624","-34.237664","14","-58.847509","-34.232707","-57.98m","5.7","-21.7","109.8","-24.3","0","111.3","5.6","400","100","0","668.26","86.07","10.07","-0.1","p4_rtk"
"00:00:06,000","-58.851583","-34.237574","14","-58.847509","-34.232707","-57.98m","6.2","-21.7","109.6","-24.4","0","111.4","5.6","400","100","0","657.86","86.01","10.83","-0.1","p4_rtk"
"00:00:07,000","-58.851538","-34.237479","14","-58.847509","-34.232707","-57.98m","6","-22.3","109.6","-24.3","0","111.5","5.6","400","100","0","646.82","85.94","11.37","-0.1","p4_rtk"
"00:00:08,000","-58.851493","-34.237382","14","-58.847509","-34.232707","-57.98m","6.4","-22.4","109.4","-24.4","0","111.6","5.6","400","100","0","635.6","85.8","11.77","0","p4_rtk"
"00:00:09,000","-58.851446","-34.23728","14","-58.847509","-34.232707","-57.98m","6.3","-22.7","109.3","-24.4","0","111.6","5.6","400","100","0","624.03","85.74","12.09","0","p4_rtk"
"00:00:10,000","-58.851398","-34.237177","14","-58.847509","-34.232707","-57.98m","6.7","-23.2","109.2","-24.4","0","111.7","5.6","400","100","0","612.27","85.73","12.31","0","p4_rtk"
"00:00:11,000","-58.85135","-34.237071","14","-58.847509","-34.232707","-57.98m","6.8","-23.5","109.2","-24.4","0","111.7","5.6","400","100","0","600.32","85.64","12.41","0","p4_rtk"
"00:00:12,000","-58.851302","-34.236967","14","-58.847509","-34.232707","-57.98m","7.3","-24","109.2","-24.3","0","111.8","5.6","400","100","0","588.54","85.68","12.54","0","p4_rtk"
"00:00:13,000","-58.851251","-34.23686","14","-58.847509","-34.232707","-57.98m","7.6","-24","108.9","-24.3","0","111.9","5.6","400","100","0","576.33","85.6","12.63","0.1","p4_rtk"
"00:00:14,000","-58.851196","-34.23674","14","-58.847509","-34.232707","-57.98m","7.6","-23.7","108.8","-24.4","0","111.9","5.6","400","100","0","562.77","85.62","12.72","0.1","p4_rtk"
"00:00:15,000","-58.851148","-34.236633","14","-58.847509","-34.232707","-57.98m","6.4","-24.3","109","-24.4","0","111.9","5.6","400","100","0","550.63","85.63","12.82","0","p4_rtk"
"00:00:16,000","-58.851098","-34.236523","14","-58.847509","-34.232707","-57.98m","6.6","-22.2","109.1","-24.4","0","111.9","5.6","400","100","0","537.97","85.56","13","0.1","p4_rtk"
"00:00:17,000","-58.851047","-34.236413","14","-58.847509","-34.232707","-57.98m","6.8","-23","109","-24.4","0","111.9","5.6","400","100","0","525.2","85.5","12.91","0.1","p4_rtk"
"00:00:18,000","-58.850998","-34.236304","14","-58.847509","-34.232707","-57.98m","6.3","-23.5","109.1","-24.3","0","111.9","5.6","400","100","0","512.49","85.55","12.91","0","p4_rtk"
"00:00:19,000","-58.850948","-34.236195","15","-58.847509","-34.232707","-57.98m","6.4","-23.5","109.1","-24.4","0","111.9","5.6","400","100","0","500.08","85.56","12.91","0","p4_rtk"
"00:00:20,000","-58.850899","-34.236085","14","-58.847509","-34.232707","-57.98m","6.9","-24","109.2","-24.3","0","111.9","5.6","400","100","0","488.17","85.6","12.91","0.1","p4_rtk"
"00:00:21,000","-58.850849","-34.235977","14","-58.847509","-34.232707","-57.98m","6","-24.3","109.2","-24.4","0","111.9","5.6","400","100","0","476.4","85.65","12.82","0","p4_rtk"
"00:00:22,000","-58.8508","-34.235867","14","-58.847509","-34.232707","-57.98m","5.9","-24.4","109.5","-24.4","0","111.9","5.6","400","100","0","464.15","85.69","13","0","p4_rtk"
"00:00:23,000","-58.850751","-34.235758","14","-58.847509","-34.232707","-57.98m","6","-22.2","109.4","-24.4","0","111.9","5.6","400","100","0","451.83","85.59","13.1","0","p4_rtk"
"00:00:24,000","-58.850701","-34.235646","14","-58.847509","-34.232707","-57.98m","6.2","-21","109.5","-24.4","0","111.9","5.6","400","100","0","439.19","85.59","13.13","0.1","p4_rtk"
"00:00:25,000","-58.85065","-34.235533","14","-58.847509","-34.232707","-57.98m","5.2","-20.9","109.3","-24.4","0","111.9","5.6","400","100","0","426.58","85.48","13.13","0.1","p4_rtk"
"00:00:26,000","-58.850598","-34.235422","14","-58.847509","-34.232707","-57.98m","5.6","-22.5","109.1","-24.4","0","111.8","5.6","400","100","0","414.25","85.63","12.98","0","p4_rtk"
"00:00:27,000","-58.850546","-34.235313","14","-58.847509","-34.232707","-57.98m","6.1","-23.5","109.2","-24.4","0","111.8","5.6","400","100","0","402.15","85.67","12.89","0","p4_rtk"
"00:00:28,000","-58.850495","-34.235204","14","-58.847509","-34.232707","-57.98m","6.1","-24","109.2","-24.3","0","111.8","5.6","400","100","0","390.35","85.75","12.85","0","p4_rtk"
"00:00:29,000","-58.850444","-34.235097","15","-58.847509","-34.232707","-57.98m","7.1","-24","108.9","-24.4","0","111.8","5.6","400","100","0","378.75","85.74","12.94","0","p4_rtk"
"00:00:30,000","-58.850394","-34.234986","14","-58.847509","-34.232707","-57.98m","5.5","-23.8","109.1","-24.4","0","111.8","5.6","400","100","0","367.06","85.75","12.91","0","p4_rtk"
"00:00:31,000","-58.850344","-34.234876","14","-58.847509","-34.232707","-57.98m","6.1","-22.4","109.3","-24.3","0","111.8","5.6","400","100","0","355.27","85.67","13.04","0","p4_rtk"
"00:00:32,000","-58.850292","-34.234764","14","-58.847509","-34.232707","-57.98m","7","-22.4","109.5","-24.4","0","111.8","5.6","400","100","0","343.2","85.66","13.07","0","p4_rtk"
"00:00:33,000","-58.850242","-34.234655","14","-58.847509","-34.232707","-57.98m","5.9","-21.4","109.2","-24.4","0","111.8","5.6","400","100","0","331.61","85.76","13.1","0.1","p4_rtk"
"00:00:34,000","-58.850191","-34.234542","14","-58.847509","-34.232707","-57.98m","6.7","-22.5","109.1","-24.4","0","111.8","5.6","400","100","0","319.92","85.8","12.94","0","p4_rtk"
"00:00:35,000","-58.850141","-34.234432","14","-58.847509","-34.232707","-57.98m","6.1","-21.5","109.2","-24.4","0","111.8","5.6","400","100","0","308.76","85.84","13.13","0","p4_rtk"
"00:00:36,000","-58.850091","-34.23432","14","-58.847509","-34.232707","-57.98m","5.3","-21.6","109.2","-24.4","0","111.8","5.6","400","100","0","297.65","85.79","13.1","0","p4_rtk"
"00:00:37,000","-58.850042","-34.23421","15","-58.847509","-34.232707","-57.98m","5.1","-22.7","109.3","-24.3","0","111.8","5.6","400","100","0","286.86","85.83","13","0","p4_rtk"
"00:00:38,000","-58.849992","-34.234099","14","-58.847509","-34.232707","-57.98m","4.8","-23.1","109.4","-24.4","0","111.8","5.6","400","100","0","276.06","85.88","13","0","p4_rtk"
"00:00:39,000","-58.849943","-34.233989","14","-58.847509","-34.232707","-57.98m","4.2","-22.8","109.6","-24.4","0","111.7","5.6","400","100","0","265.48","85.79","13","0","p4_rtk"
"00:00:40,000","-58.849894","-34.233879","14","-58.847509","-34.232707","-57.98m","5.8","-23.4","109.6","-24.4","0","111.7","5.6","400","100","0","254.88","85.82","12.94","0","p4_rtk"
"00:00:41,000","-58.849843","-34.233768","14","-58.847509","-34.232707","-57.98m","6.8","-23.3","109.3","-24.4","0","111.8","5.6","400","100","0","244.84","85.81","12.94","0","p4_rtk"
"00:00:42,000","-58.849793","-34.233658","14","-58.847509","-34.232707","-57.98m","4.5","-21.7","109.4","-24.4","0","111.8","5.6","400","100","0","235.34","85.78","13.1","0","p4_rtk"
"00:00:43,000","-58.849743","-34.233549","14","-58.847509","-34.232707","-57.98m","6.7","-21.6","109.4","-24.4","0","111.8","5.6","400","100","0","225.83","85.77","13.04","0","p4_rtk"
"00:00:44,000","-58.849691","-34.233437","14","-58.847509","-34.232707","-57.98m","7.7","-22.2","109.3","-24.4","0","111.8","5.6","400","100","0","216.35","85.76","12.98","0","p4_rtk"
"00:00:45,000","-58.849641","-34.233331","15","-58.847509","-34.232707","-57.98m","8.4","-23.8","108.9","-24.4","0","112","5.6","400","100","0","207.74","85.97","12.66","0","p4_rtk"
